city,instance_id,solver,variant,reference_variant,num_customers,total_demand,distance_m,fuel_l,co2_kg,distance_penalty_pct,fuel_penalty_pct,co2_penalty_pct,feasible,infeasible_reason,runtime_seconds,seed
macau,18,OR-Tools,SE,AR,20,133,20780.867443525563,87.17527721410687,233.62974293380643,8.676963589781883,8.828832428846807,8.82883242884681,True,,44.99919000000227,60
macau,18,OR-Tools,SM,AR,20,133,23166.372994717363,97.24945718953146,260.62854526794433,21.15235715237664,21.405348150280165,21.405348150280176,True,,44.99906609999016,60
macau,18,OR-Tools,SR,AR,20,133,19469.953453205697,81.56800386589157,218.6022503605894,1.8213233051548703,1.8287627864308866,1.8287627864308855,True,,44.99906549998559,60
macau,18,OR-Tools,AR,AR,20,133,19121.685734583258,80.10310803536626,214.6763295347816,0.0,0.0,0.0,True,,44.99929750000592,60
macau,19,OR-Tools,SE,AR,20,137,26982.49856455638,113.29531127484546,303.63143421658583,13.233877991380405,13.31751789195961,13.317517891959604,True,,44.99958120007068,61
macau,19,OR-Tools,SM,AR,20,137,29718.285930282975,124.66674113558214,334.1068662433602,24.714794483968326,24.69117662683165,24.691176626831655,True,,44.99910909996834,61
macau,19,OR-Tools,SR,AR,20,137,27111.202876532596,113.84194584369156,305.0964148610934,13.773994331029659,13.86425960473281,13.864259604732817,True,,44.99918100005016,61
macau,19,OR-Tools,AR,AR,20,137,23828.998037681216,99.98040319138006,267.9474805528986,0.0,0.0,0.0,True,,44.99912330007646,61
macau,20,OR-Tools,SE,AR,20,129,27043.74178421589,113.3168451106656,303.6891448965838,17.546579810876988,17.416493372333875,17.416493372333857,True,,44.99928370001726,62
macau,20,OR-Tools,SM,AR,20,129,25278.56022477907,105.89648108736603,283.80256931414095,9.874155753857968,9.727670741319303,9.727670741319285,True,,44.99915649998002,62
macau,20,OR-Tools,SR,AR,20,129,24089.485857664826,101.15543646928366,271.0965697376802,4.705801976843262,4.815101622108869,4.815101622108861,True,,44.99907289992552,62
macau,20,OR-Tools,AR,AR,20,129,23006.829996863456,96.50845622797806,258.64266269098124,0.0,0.0,0.0,True,,44.99960119999014,62
macau,21,OR-Tools,SE,AR,20,134,30011.50476607775,125.98796567224807,337.64774800162485,31.555817862485572,31.437714442357706,31.437714442357702,True,,45.00015009997878,63
macau,21,OR-Tools,SM,AR,20,134,30011.504766077745,125.98796567224804,337.64774800162473,31.555817862485554,31.437714442357677,31.437714442357656,True,,44.99967629997991,63
